SessionID = "111020.092714"
SessionDate = "20/10/2011 (dd/mm/yyyy)"
SessionEnvironment = "closed empty room"
SessionComments = "0dB, 80 Hz"
SpeakerID = "4703"
SpeakerName = "Emmanuel D. Macapagal"
SpeakerAge = 43
SpeakerGender = "male"
SpekaerDialect = "Cebuano - Northern Mindanao"
MotherDialect = "Boholano"
FatherDialect = "Chabacano"
SpeakerProfession = "Veterinarian"
SpeakerComments = ""
4703.111020.092714.0007.wav "CEBUtt_aaaaa.txt" "Ayáw na págtagád."
4703.111020.092714.0008.wav "CEBUtt_aaaab.txt" "Dághan ka bang himúon?"
4703.111020.092714.0009.wav "CEBUtt_aaaac.txt" "Dághang salámat."
4703.111020.092714.0011.wav "CEBUtt_aaaad.txt" "Gihigúgma ko kaáyo ikáw."
4703.111020.092714.0014.wav "CEBUtt_aaaae.txt" "Gústo ba nínyong mokáon?"
4703.111020.092714.0015.wav "CEBUtt_aaaaf.txt" "Gústo ka mokáon?"
4703.111020.092714.0016.wav "CEBUtt_aaaag.txt" "Kumustá ka?"
4703.111020.092714.0017.wav "CEBUtt_aaaah.txt" "Kumustá kamó?	"
4703.111020.092714.0019.wav "CEBUtt_aaaai.txt" "Kusóg ang búnok."
4703.111020.092714.0020.wav "CEBUtt_aaaaj.txt" "Magkítà na lang ta sa sunód."
4703.111020.092714.0021.wav "CEBUtt_aaaak.txt" "Magámping ka."
4703.111020.092714.0023.wav "CEBUtt_aaaal.txt" "Magámping kamó."
4703.111020.092714.0025.wav "CEBUtt_aaaam.txt" "Mahál ba nímo ko? / Gihigúgma ba nímo ko?"
4703.111020.092714.0028.wav "CEBUtt_aaaan.txt" "Mahál ka nákò. / Gihigúgma ka nákò."
4703.111020.092714.0030.wav "CEBUtt_aaaao.txt" "Malipáyung kaadláwan kanínyo."
4703.111020.092714.0031.wav "CEBUtt_aaaap.txt" "Malipáyung kaadláwan."
4703.111020.092714.0032.wav "CEBUtt_aaaaq.txt" "Malipáyung pagbátì kanínyo."
4703.111020.092714.0033.wav "CEBUtt_aaaar.txt" "Malipáyung pagbátì."
4703.111020.092714.0034.wav "CEBUtt_aaaas.txt" "Maáyo man."
4703.111020.092714.0035.wav "CEBUtt_aaaat.txt" "Maáyong búntag kanínyo."
4703.111020.092714.0036.wav "CEBUtt_aaaau.txt" "Maáyong búntag."
4703.111020.092714.0037.wav "CEBUtt_aaaav.txt" "Maáyong gabí-i kanínyo.	"
4703.111020.092714.0038.wav "CEBUtt_aaaaw.txt" "Maáyong gabí-i."
4703.111020.092714.0041.wav "CEBUtt_aaaax.txt" "Maáyong hápon kanínyo."
4703.111020.092714.0042.wav "CEBUtt_aaaay.txt" "Maáyong hápon.	"
4703.111020.092714.0043.wav "CEBUtt_aaaaz.txt" "Molakáw na kó."
4703.111020.092714.0044.wav "CEBUtt_aaaba.txt" "Moúna ka na."
4703.111020.092714.0046.wav "CEBUtt_aaabb.txt" "Múra'g gitiáw-tiáwan mo akó."
4703.111020.092714.0049.wav "CEBUtt_aaabc.txt" "Pasénsya na kanínyo."
4703.111020.092714.0050.wav "CEBUtt_aaabd.txt" "Pasénsya na."
4703.111020.092714.0052.wav "CEBUtt_aaabe.txt" "Pilá ka túig na ka?"
4703.111020.092714.0053.wav "CEBUtt_aaabf.txt" "Pilá ka túig na kamó?"
4703.111020.092714.0054.wav "CEBUtt_aaabg.txt" "Sígi."
4703.111020.092714.0056.wav "CEBUtt_aaabh.txt" "Tagpíla kiní?	 "
4703.111020.092714.0057.wav "CEBUtt_aaabi.txt" "Tagpíla ni?"
4703.111020.092714.0058.wav "CEBUtt_aaabj.txt" "Waláy sapayán"
4703.111020.092714.0060.wav "CEBUtt_aaabk.txt" "Ása ang terminál sa bus?"
4703.111020.092714.0061.wav "CEBUtt_aaabl.txt" "Ása ka moádto?"
4703.111020.092714.0062.wav "CEBUtt_aaabm.txt" "Ása ka nagpuyô? / Diín ka nagpuyô?"
4703.111020.092714.0063.wav "CEBUtt_aaabn.txt" "Ása kamó nagpuyô?"
4703.111020.092714.0064.wav "CEBUtt_aaabo.txt" "Únsa ang átong pagkáon karón?"
4703.111020.092714.0065.wav "CEBUtt_aaabp.txt" "Únsa ang ímong pangálan?"
4703.111020.092714.0068.wav "CEBUtt_aaabq.txt" "Únsa ang ínyong pangálan?"
4703.111020.092714.0070.wav "CEBUtt_aaabr.txt" "Únsang pagkáon nátò karón?"
4703.111020.092714.0071.wav "CEBUtt_aaabs.txt" "Únsang óras na?"
4703.111020.092714.0073.wav "CEBUtt_aaabt.txt" "Gitawgan ni Inday Fe ang iyang Manang Flora aron maghatag ug balita."
4703.111020.092714.0075.wav "CEBUtt_aaabu.txt" "Nangayo si Inday Fe ug kwarta sa iyang Manay Flora. Gipakaon ni Inday Fe ang iyang inahan."
4703.111020.092714.0078.wav "CEBUtt_aaabv.txt" "Unsang pangalan sa asawa ni Dodong Leo?"
4703.111020.092714.0079.wav "CEBUtt_aaabw.txt" "Nihilak ang ámong ginikánan sa pagminyò sa ámong kamanghúran."
4703.111020.092714.0080.wav "CEBUtt_aaabx.txt" "Nitábang si Ellen sa iyáng mánghod."
4703.111020.092714.0084.wav "CEBUtt_aaaby.txt" "Magúlang kang Índay Fe si Índay Aurora."
4703.111020.092714.0085.wav "CEBUtt_aaabz.txt" "Si Índay Flora ang ámong kamagulángan sa ámong pamílya."
4703.111020.092714.0086.wav "CEBUtt_aaaca.txt" "Nahuman na si Dódong Leo sa iyang pagtuon. "
4703.111020.092714.0089.wav "CEBUtt_aaacb.txt" "Si Úndò Lino ang kamanghúran sa ámong pamílya. Dawáta nínyo ang ámong kinasingkásing nga pasalámat"
4703.111020.092714.0090.wav "CEBUtt_aaacc.txt" "Dawáta ang ámong pahisubô."
4703.111020.092714.0091.wav "CEBUtt_aaacd.txt" "Dayun kamo."
4703.111020.092714.0092.wav "CEBUtt_aaace.txt" "Dayun."
4703.111020.092714.0093.wav "CEBUtt_aaacf.txt" "Dayún mo. "
4703.111020.092714.0094.wav "CEBUtt_aaacg.txt" "Dághang salámat."
4703.111020.092714.0095.wav "CEBUtt_aaach.txt" "Gibátì ko ikáw."
4703.111020.092714.0096.wav "CEBUtt_aaaci.txt" "Gibátì ko kamó."
4703.111020.092714.0098.wav "CEBUtt_aaacj.txt" "Gikalípay ko kamóng makailá."
4703.111020.092714.0099.wav "CEBUtt_aaack.txt" "Gikasubô ko."
4703.111020.092714.0100.wav "CEBUtt_aaacl.txt" "Hángtud sa ótro."
4703.111020.092714.0101.wav "CEBUtt_aaacm.txt" "Hángtud sa ótrong pagkítà."
4703.111020.092714.0103.wav "CEBUtt_aaacn.txt" "Ikadásig ko kamóng makaúban."
4703.111020.092714.0106.wav "CEBUtt_aaaco.txt" "Ipakasidungóg kong kamóng makailá."
4703.111020.092714.0109.wav "CEBUtt_aaacp.txt" "Kumusta na ka?"
4703.111020.092714.0110.wav "CEBUtt_aaacq.txt" "Kumusta ka?"
4703.111020.092714.0111.wav "CEBUtt_aaacr.txt" "Kumusta namo?"
4703.111020.092714.0112.wav "CEBUtt_aaacs.txt" "Kumusta sila?"
4703.111020.092714.0113.wav "CEBUtt_aaact.txt" "Kumusta?"
4703.111020.092714.0114.wav "CEBUtt_aaacu.txt" "Kínsa mo?"
4703.111020.092714.0115.wav "CEBUtt_aaacv.txt" "Maayo man."
4703.111020.092714.0116.wav "CEBUtt_aaacw.txt" "Maayo."
4703.111020.092714.0117.wav "CEBUtt_aaacx.txt" "Maayung adlaw kanimo."
4703.111020.092714.0118.wav "CEBUtt_aaacy.txt" "Maayung adlaw sa ilaha."
4703.111020.092714.0119.wav "CEBUtt_aaacz.txt" "Maayung adlaw."
4703.111020.092714.0120.wav "CEBUtt_aaada.txt" "Maayung buntag."
4703.111020.092714.0121.wav "CEBUtt_aaadb.txt" "Maayung gabii."
4703.111020.092714.0122.wav "CEBUtt_aaadc.txt" "Maayung hapon."
4703.111020.092714.0123.wav "CEBUtt_aaadd.txt" "Maayung udto."
4703.111020.092714.0124.wav "CEBUtt_aaade.txt" "Mabuláhang bág-ong túig."
4703.111020.092714.0125.wav "CEBUtt_aaadf.txt" "Mabúhì ang bág-ong kasál!"
4703.111020.092714.0126.wav "CEBUtt_aaadg.txt" "Mabúhì!"
4703.111020.092714.0127.wav "CEBUtt_aaadh.txt" "Malipáyong Pásko."
4703.111020.092714.0128.wav "CEBUtt_aaadi.txt" "Malipáyong kaadláwan kanímo."
4703.111020.092714.0129.wav "CEBUtt_aaadj.txt" "Malipáyong kaadláwan."
4703.111020.092714.0130.wav "CEBUtt_aaadk.txt" "Malipáyong pagbátì sa ímong kaadláwan."
4703.111020.092714.0132.wav "CEBUtt_aaadl.txt" "Malipáyong pagbátì sa ímong paghumán."
4703.111020.092714.0133.wav "CEBUtt_aaadm.txt" "Malipáyong pagbátì."
4703.111020.092714.0134.wav "CEBUtt_aaadn.txt" "Mamalíhog ko kanínyo."
4703.111020.092714.0135.wav "CEBUtt_aaado.txt" "Manamílit na kamí."
