SessionID = "110816.100658"
SessionDate = "16/08/2011 (dd/mm/yyyy)"
SessionEnvironment = "closed empty room"
SessionComments = "80Hz highpass filter, 6dB pre-att"
SpeakerID = "8125"
SpeakerName = "Brendalyn Javier"
SpeakerAge = 22
SpeakerGender = "female"
SpekaerDialect = "Tagalog-Batangas"
MotherDialect = "Tagalog-Batangas"
FatherDialect = "Tagalog-Batangas"
SpeakerProfession = "Student"
SpeakerComments = ""
8125.110816.100658.0003.wav "TGL_Iso_Kinship.txt" "diko"
8125.110816.100658.0004.wav "TGL_Iso_Kinship.txt" "bunso"
8125.110816.100658.0005.wav "TGL_Iso_Kinship.txt" "amang"
8125.110816.100658.0006.wav "TGL_Iso_Kinship.txt" "kaputol (utol)"
8125.110816.100658.0007.wav "TGL_Iso_Kinship.txt" "katambal"
8125.110816.100658.0008.wav "TGL_Iso_Kinship.txt" "katukayo"
8125.110816.100658.0009.wav "TGL_Iso_Kinship.txt" "kaibigan"
8125.110816.100658.0010.wav "TGL_Iso_Kinship.txt" "kinakapatid"
8125.110816.100658.0011.wav "TGL_Iso_Kinship.txt" "kapitbahay"
8125.110816.100658.0012.wav "TGL_Iso_Kinship.txt" "katukayo"
8125.110816.100658.0014.wav "TGL_Iso_BodyParts.txt" "likuran"
8125.110816.100658.0015.wav "TGL_Iso_BodyParts.txt" "puyo"
8125.110816.100658.0016.wav "TGL_Iso_BodyParts.txt" "bayag"
8125.110816.100658.0017.wav "TGL_Iso_BodyParts.txt" "hinlalaki"
8125.110816.100658.0018.wav "TGL_Iso_BodyParts.txt" "patilya"
8125.110816.100658.0019.wav "TGL_Iso_BodyParts.txt" "kalamnan"
8125.110816.100658.0020.wav "TGL_Iso_BodyParts.txt" "bató"
8125.110816.100658.0021.wav "TGL_Iso_BodyParts.txt" "pilikmata"
8125.110816.100658.0022.wav "TGL_Iso_BodyParts.txt" "hinlalaki"
8125.110816.100658.0023.wav "TGL_Iso_BodyParts.txt" "kalingkingan"
8125.110816.100658.0024.wav "TGL_Iso_BodyParts.txt" "labì"
8125.110816.100658.0025.wav "TGL_Iso_BodyParts.txt" "laman"
8125.110816.100658.0026.wav "TGL_Iso_BodyParts.txt" "bukong-bukong"
8125.110816.100658.0027.wav "TGL_Iso_BodyParts.txt" "hinliliit"
8125.110816.100658.0029.wav "TGL_Iso_BodyParts.txt" "súso"
8125.110816.100658.0030.wav "TGL_Iso_male.txt" "Matthew"
8125.110816.100658.0031.wav "TGL_Iso_male.txt" "Donald"
8125.110816.100658.0032.wav "TGL_Iso_male.txt" "Omar"
8125.110816.100658.0033.wav "TGL_Iso_male.txt" "Alfred"
8125.110816.100658.0034.wav "TGL_Iso_male.txt" "Ricardo"
8125.110816.100658.0035.wav "TGL_Iso_male.txt" "Mark Anthony"
8125.110816.100658.0036.wav "TGL_Iso_male.txt" "Stephen"
8125.110816.100658.0037.wav "TGL_Iso_male.txt" "Julius"
8125.110816.100658.0038.wav "TGL_Iso_male.txt" "Ariel"
8125.110816.100658.0039.wav "TGL_Iso_male.txt" "Christopher"
8125.110816.100658.0040.wav "TGL_Iso_male.txt" "Emil"
8125.110816.100658.0041.wav "TGL_Iso_male.txt" "Michael"
8125.110816.100658.0042.wav "TGL_Iso_male.txt" "Benjamin"
8125.110816.100658.0043.wav "TGL_Iso_male.txt" "Anthony"
8125.110816.100658.0044.wav "TGL_Iso_male.txt" "Angelo"
8125.110816.100658.0045.wav "TGL_Iso_male.txt" "Phil"
8125.110816.100658.0046.wav "TGL_Iso_female.txt" "Christy"
8125.110816.100658.0047.wav "TGL_Iso_female.txt" "Pia"
8125.110816.100658.0048.wav "TGL_Iso_female.txt" "Stella"
8125.110816.100658.0049.wav "TGL_Iso_female.txt" "Cristina"
8125.110816.100658.0050.wav "TGL_Iso_female.txt" "Lucia"
8125.110816.100658.0051.wav "TGL_Iso_female.txt" "Cherry"
8125.110816.100658.0052.wav "TGL_Iso_female.txt" "Eliza"
8125.110816.100658.0053.wav "TGL_Iso_female.txt" "Michelle"
8125.110816.100658.0054.wav "TGL_Iso_female.txt" "Mary Ann"
8125.110816.100658.0055.wav "TGL_Iso_female.txt" "Kat"
8125.110816.100658.0056.wav "TGL_Iso_female.txt" "Jennifer"
8125.110816.100658.0057.wav "TGL_Iso_female.txt" "Jillian"
8125.110816.100658.0058.wav "TGL_Iso_female.txt" "Cherry"
8125.110816.100658.0059.wav "TGL_Iso_female.txt" "Evelyn"
8125.110816.100658.0060.wav "TGL_Iso_female.txt" "Doreen"
8125.110816.100658.0061.wav "TGL_Iso_surnames_countries.txt" "Torres "
8125.110816.100658.0062.wav "TGL_Iso_surnames_countries.txt" "Alemanya"
8125.110816.100658.0063.wav "TGL_Iso_surnames_countries.txt" "Del Rosario"
8125.110816.100658.0064.wav "TGL_Iso_surnames_countries.txt" "Aprika"
8125.110816.100658.0065.wav "TGL_Iso_surnames_countries.txt" "Tsina"
8125.110816.100658.0066.wav "TGL_Iso_surnames_countries.txt" "Rivera "
8125.110816.100658.0067.wav "TGL_Iso_surnames_countries.txt" "De Castro"
8125.110816.100658.0068.wav "TGL_Iso_surnames_countries.txt" "Alemanya"
8125.110816.100658.0069.wav "TGL_Iso_companies.txt" "Export and Industry Bank"
8125.110816.100658.0070.wav "TGL_Iso_companies.txt" "Far Eastern University"
8125.110816.100658.0071.wav "TGL_Iso_companies.txt" "Petron Corporation"
8125.110816.100658.0072.wav "TGL_Iso_companies.txt" "Manulife Financial"
8125.110816.100658.0073.wav "TGL_Iso_companies.txt" "Metro Pacific Investments"
8125.110816.100658.0074.wav "TGL_Iso_companies.txt" "San Miguel Brewery"
8125.110816.100658.0075.wav "TGL_Iso_companies.txt" "First Philippine Holdings Corporation"
8125.110816.100658.0076.wav "TGL_Iso_companies.txt" "Sun Life Financial"
8125.110816.100658.0077.wav "TGL_Iso_companies.txt" "San Miguel"
8125.110816.100658.0082.wav "TGL_Iso_companies.txt" "First Philippine Holdings Corporation"
8125.110816.100658.0083.wav "TGL_Iso_hotels.txt" "InterContinental Manila Hotel"
8125.110816.100658.0084.wav "TGL_Iso_hotels.txt" "Boracay Hills Resort"
8125.110816.100658.0085.wav "TGL_Iso_hotels.txt" "Peninsula Manila"
8125.110816.100658.0086.wav "TGL_Iso_hotels.txt" "Crown Regency Residences"
8125.110816.100658.0088.wav "TGL_Iso_hotels.txt" "Crown Regency Residences"
8125.110816.100658.0089.wav "TGL_Iso_hotels.txt" "Sofitel Philippine Plaza"
8125.110816.100658.0090.wav "TGL_Iso_hotels.txt" "The Malayan Plaza Hotel"
8125.110816.100658.0091.wav "TGL_Iso_hotels.txt" "Lotus Garden Hotel"
8125.110816.100658.0092.wav "TGL_Iso_hotels.txt" "The Malayan Plaza Hotel"
8125.110816.100658.0093.wav "TGL_Iso_hotels.txt" "Manila Pavilion Hotel"
8125.110816.100658.0094.wav "TGL_Iso_hotels.txt" "Edsa Shangri-La Hotel"
8125.110816.100658.0095.wav "TGL_Iso_landmarks.txt" "Tubbataha Reef"
