SessionID = "130201.022241"
SessionDate = "01/02/2013 (dd/mm/yyyy)"
SessionEnvironment = "closed empty room"
SessionComments = "80 Hz HPF, 0dB preatt"
SpeakerID = "0741"
SpeakerName = "Frente Sur L. Melliza"
SpeakerAge = 19
SpeakerGender = "male"
SpekaerDialect = "Hiligaynon- Iloilo"
MotherDialect = "Hiligaynon- Iloilo"
FatherDialect = "Hiligaynon- Iloilo"
SpeakerProfession = "student"
SpeakerComments = ""
0741.130201.022241.0001.wav "HIL_Iso_Airlines.txt" "Iloilo International Airport"
0741.130201.022241.0002.wav "HIL_Iso_Airlines.txt" "Tambler International Airport"
0741.130201.022241.0003.wav "HIL_Iso_Airlines.txt" "New Iloilo International Airport"
0741.130201.022241.0005.wav "HIL_Iso_Airlines.txt" "Mactan-Cebu International Airport"
0741.130201.022241.0006.wav "HIL_Iso_Airlines.txt" "Cotabato Airport"
0741.130201.022241.0007.wav "HIL_Iso_Airlines.txt" "Naga Airport"
0741.130201.022241.0008.wav "HIL_Iso_Airlines.txt" "Roxas Airport"
0741.130201.022241.0010.wav "HIL_Iso_Airlines.txt" "Davao International Airport"
0741.130201.022241.0011.wav "HIL_Iso_Airlines.txt" "Dipolog Airport"
0741.130201.022241.0012.wav "HIL_Iso_BodyParts.txt" "pus-on"
0741.130201.022241.0013.wav "HIL_Iso_BodyParts.txt" "balun-balunan"
0741.130201.022241.0014.wav "HIL_Iso_BodyParts.txt" "ariputan"
0741.130201.022241.0015.wav "HIL_Iso_BodyParts.txt" "tuhod"
0741.130201.022241.0016.wav "HIL_Iso_BodyParts.txt" "ariputan"
0741.130201.022241.0017.wav "HIL_Iso_BodyParts.txt" "unód"
0741.130201.022241.0018.wav "HIL_Iso_BodyParts.txt" "patilya"
0741.130201.022241.0019.wav "HIL_Iso_BodyParts.txt" "gusok"
0741.130201.022241.0020.wav "HIL_Iso_BodyParts.txt" "balikawáng"
0741.130201.022241.0021.wav "HIL_Iso_BodyParts.txt" "alakan"
0741.130201.022241.0024.wav "HIL_Iso_Cities.txt" "Bogo"
0741.130201.022241.0025.wav "HIL_Iso_Cities.txt" "Angeles"
0741.130201.022241.0026.wav "HIL_Iso_Cities.txt" "Quiapo"
0741.130201.022241.0027.wav "HIL_Iso_Cities.txt" "Tandag"
0741.130201.022241.0030.wav "HIL_Iso_Cities.txt" "Meycauayan"
0741.130201.022241.0031.wav "HIL_Iso_Cities.txt" "Tandag"
0741.130201.022241.0032.wav "HIL_Iso_Cities.txt" "Malabon"
0741.130201.022241.0033.wav "HIL_Iso_Cities.txt" "Ozamiz"
0741.130201.022241.0034.wav "HIL_Iso_Cities.txt" "Tarlac"
0741.130201.022241.0035.wav "HIL_Iso_Cities.txt" "Pasay"
0741.130201.022241.0036.wav "HIL_Iso_Colors_Pronouns.txt" "didto"
0741.130201.022241.0037.wav "HIL_Iso_Colors_Pronouns.txt" "laranghita"
0741.130201.022241.0038.wav "HIL_Iso_Colors_Pronouns.txt" "berde"
0741.130201.022241.0039.wav "HIL_Iso_Colors_Pronouns.txt" "kamo"
0741.130201.022241.0040.wav "HIL_Iso_Colors_Pronouns.txt" "iya"
0741.130201.022241.0041.wav "HIL_Iso_Colors_Pronouns.txt" "tagpilá"
0741.130201.022241.0042.wav "HIL_Iso_Colors_Pronouns.txt" "aton"
0741.130201.022241.0043.wav "HIL_Iso_Colors_Pronouns.txt" "garangan "
0741.130201.022241.0044.wav "HIL_Iso_Colors_Pronouns.txt" "iya"
0741.130201.022241.0045.wav "HIL_Iso_Companies.txt" "ABS-CBN"
0741.130201.022241.0046.wav "HIL_Iso_Companies.txt" "Equitable PCI Bank"
0741.130201.022241.0047.wav "HIL_Iso_Companies.txt" "Banco Filipino"
0741.130201.022241.0048.wav "HIL_Iso_Companies.txt" "Jollibee"
0741.130201.022241.0049.wav "HIL_Iso_Companies.txt" "Philippine Airlines"
0741.130201.022241.0050.wav "HIL_Iso_Companies.txt" "Chemrez Technologies"
0741.130201.022241.0051.wav "HIL_Iso_Companies.txt" "Equitable PCI Bank"
0741.130201.022241.0052.wav "HIL_Iso_Companies.txt" "Alliance Global"
0741.130201.022241.0053.wav "HIL_Iso_Companies.txt" "International Container Terminal Services Inc."
0741.130201.022241.0054.wav "HIL_Iso_Companies.txt" "Rizal Commercial Banking Corporation"
0741.130201.022241.0055.wav "HIL_Iso_Cuisine.txt" "Relyéno"
0741.130201.022241.0056.wav "HIL_Iso_Cuisine.txt" "Embutído"
0741.130201.022241.0057.wav "HIL_Iso_Cuisine.txt" "Relyéno"
0741.130201.022241.0058.wav "HIL_Iso_Cuisine.txt" "Ensemáda"
0741.130201.022241.0059.wav "HIL_Iso_Cuisine.txt" "Chopsuéy"
0741.130201.022241.0060.wav "HIL_Iso_Cuisine.txt" "Tinapá"
0741.130201.022241.0061.wav "HIL_Iso_Cuisine.txt" "Kutsintá"
0741.130201.022241.0062.wav "HIL_Iso_Cuisine.txt" "Halíya"
0741.130201.022241.0063.wav "HIL_Iso_Cuisine.txt" "Sinúgba"
0741.130201.022241.0064.wav "HIL_Iso_Cuisine.txt" "﻿Adóbo"
0741.130201.022241.0065.wav "HIL_Iso_Educ.txt" "liwat"
0741.130201.022241.0066.wav "HIL_Iso_Educ.txt" "nila nga"
0741.130201.022241.0069.wav "HIL_Iso_Educ.txt" "Rizal"
0741.130201.022241.0070.wav "HIL_Iso_Educ.txt" "Espanya"
0741.130201.022241.0071.wav "HIL_Iso_Educ.txt" "kinahanglán"
0741.130201.022241.0072.wav "HIL_Iso_Educ.txt" "subóng sang"
0741.130201.022241.0073.wav "HIL_Iso_Educ.txt" "duhá"
0741.130201.022241.0074.wav "HIL_Iso_Educ.txt" "singgít"
0741.130201.022241.0075.wav "HIL_Iso_Educ.txt" "kon"
0741.130201.022241.0076.wav "HIL_Iso_Educ.txt" "subâ"
0741.130201.022241.0077.wav "HIL_Iso_Hotels.txt" "Traders Hotel"
0741.130201.022241.0078.wav "HIL_Iso_Hotels.txt" "Maribago Bluewater Beach Resort"
0741.130201.022241.0079.wav "HIL_Iso_Hotels.txt" "Somerset Olympia Makati"
0741.130201.022241.0082.wav "HIL_Iso_Hotels.txt" "Patio Pacific Resort"
0741.130201.022241.0083.wav "HIL_Iso_Hotels.txt" "Lotus Garden Hotel"
0741.130201.022241.0084.wav "HIL_Iso_Hotels.txt" "The Orchard Cebu Hotel & Suites"
0741.130201.022241.0087.wav "HIL_Iso_Hotels.txt" "Fraser Place"
0741.130201.022241.0088.wav "HIL_Iso_Hotels.txt" "Shangri-La's Mactan Resort & Spa"
0741.130201.022241.0089.wav "HIL_Iso_Hotels.txt" "Dulcinea Hotel & Suites"
0741.130201.022241.0090.wav "HIL_Iso_Hotels.txt" "Sofitel Philippine Plaza"
0741.130201.022241.0091.wav "HIL_Iso_Kinship.txt" "tatay"
0741.130201.022241.0092.wav "HIL_Iso_Kinship.txt" "nanay "
0741.130201.022241.0093.wav "HIL_Iso_Kinship.txt" "kinagot"
0741.130201.022241.0094.wav "HIL_Iso_Kinship.txt" "balo"
0741.130201.022241.0095.wav "HIL_Iso_Kinship.txt" "tatay"
0741.130201.022241.0096.wav "HIL_Iso_Kinship.txt" "bata"
0741.130201.022241.0097.wav "HIL_Iso_Kinship.txt" "katigulangan"
0741.130201.022241.0098.wav "HIL_Iso_Kinship.txt" "ka puso"
0741.130201.022241.0099.wav "HIL_Iso_Kinship.txt" "kumpare"
0741.130201.022241.0100.wav "HIL_Iso_Kinship.txt" "kabangi"
0741.130201.022241.0101.wav "HIL_Iso_Landmarks.txt" "Monumento ni Bonifacio"
0741.130201.022241.0102.wav "HIL_Iso_Landmarks.txt" "Pinaglabanan Shrine"
0741.130201.022241.0103.wav "HIL_Iso_Landmarks.txt" "Manila Ocean Park"
0741.130201.022241.0104.wav "HIL_Iso_Landmarks.txt" "University of the Philippines"
0741.130201.022241.0105.wav "HIL_Iso_Landmarks.txt" "Subterranean River"
0741.130201.022241.0106.wav "HIL_Iso_Landmarks.txt" "Bamboo Organ of Las Piñas"
0741.130201.022241.0107.wav "HIL_Iso_Landmarks.txt" "Bulkang Taal"
0741.130201.022241.0108.wav "HIL_Iso_Landmarks.txt" "Tagaytay Highlands"
0741.130201.022241.0109.wav "HIL_Iso_Landmarks.txt" "Emilio Aguinaldo Shrine"
0741.130201.022241.0110.wav "HIL_Iso_Landmarks.txt" "Busay sang Maria Cristina"
0741.130201.022241.0112.wav "HIL_Iso_MinPairs.txt" "Hawak (the waist) -- Hawák (roof lath; thin strip of wood used to frame roofing material)"
0741.130201.022241.0113.wav "HIL_Iso_MinPairs.txt" "Buli (a patadyong or native tube skirt that has been starched and made glossy by beating) -- Bulî (buttock)"
0741.130201.022241.0114.wav "HIL_Iso_MinPairs.txt" "Habón (soap) -- Hab-on (to throw down in a heap or in disorder)"
0741.130201.022241.0115.wav "HIL_Iso_MinPairs.txt" "Amo (master ) -- Amó (that ) -- Amô (monkey )"
0741.130201.022241.0118.wav "HIL_Iso_MinPairs.txt" "Abang (to take within range or sweep, as when a house catches fire coming from another house) -- Abáng (greed )"
0741.130201.022241.0122.wav "HIL_Iso_MinPairs.txt" "Upud (to burn up, consume completely) -- Upúd (the remnants of burnt wood, the stump of a cigar) -- Upúd (companion; to accompany)"
0741.130201.022241.0123.wav "HIL_Iso_MinPairs.txt" "Dala (to bear fruit, to be pregnant) -- Dalá (anything carried, brought, taken, transported; or to carry, bring, take, transport) -- Dalâ (to form pus)"
0741.130201.022241.0125.wav "HIL_Iso_MinPairs.txt" "Abang (to take within range or sweep, as when a house catches fire coming from another house) -- Abáng (greed )"
0741.130201.022241.0126.wav "HIL_Iso_MinPairs.txt" "Buli (a patadyong or native tube skirt that has been starched and made glossy by beating) -- Bulî (buttock)"
