SessionID = "130130.063449"
SessionDate = "30/01/2013 (dd/mm/yyyy)"
SessionEnvironment = "closed empty room"
SessionComments = "0dB preatt 80Hz hpf cardioid"
SpeakerID = "0739"
SpeakerName = "Florian D Servidad"
SpeakerAge = 22
SpeakerGender = "female"
SpekaerDialect = "Hiligaynon - Kinaray-a"
MotherDialect = "Hiligaynon - Kinaray-a"
FatherDialect = "Hiligaynon - Kinaray-a"
SpeakerProfession = "Student"
SpeakerComments = "none"
0739.130130.063449.0001.wav "HIL_Iso_Airlines.txt" "New Iloilo International Airport"
0739.130130.063449.0002.wav "HIL_Iso_Airlines.txt" "Iloilo International Airport"
0739.130130.063449.0003.wav "HIL_Iso_Airlines.txt" "Francisco Bangoy International Airport"
0739.130130.063449.0004.wav "HIL_Iso_Airlines.txt" "Laoag International Airport"
0739.130130.063449.0005.wav "HIL_Iso_Airlines.txt" "Francisco Bangoy International Airport"
0739.130130.063449.0006.wav "HIL_Iso_Airlines.txt" "Roxas Airport"
0739.130130.063449.0007.wav "HIL_Iso_Airlines.txt" "Mactan-Cebu International Airport"
0739.130130.063449.0008.wav "HIL_Iso_Airlines.txt" "Laoag International Airport"
0739.130130.063449.0009.wav "HIL_Iso_Airlines.txt" "Naga Airport"
0739.130130.063449.0010.wav "HIL_Iso_BodyParts.txt" "bulî"
0739.130130.063449.0011.wav "HIL_Iso_BodyParts.txt" "labotlabot"
0739.130130.063449.0014.wav "HIL_Iso_BodyParts.txt" "alingagngag"
0739.130130.063449.0015.wav "HIL_Iso_BodyParts.txt" "ariputan"
0739.130130.063449.0016.wav "HIL_Iso_BodyParts.txt" "bagà"
0739.130130.063449.0017.wav "HIL_Iso_BodyParts.txt" "bató-bató"
0739.130130.063449.0018.wav "HIL_Iso_BodyParts.txt" "likod"
0739.130130.063449.0019.wav "HIL_Iso_BodyParts.txt" "batiis "
0739.130130.063449.0020.wav "HIL_Iso_BodyParts.txt" "yupok"
0739.130130.063449.0021.wav "HIL_Iso_BodyParts.txt" "tungâ-tungâ"
0739.130130.063449.0022.wav "HIL_Iso_Cities.txt" "Cabadbaran"
0739.130130.063449.0023.wav "HIL_Iso_Cities.txt" "Guimaras"
0739.130130.063449.0024.wav "HIL_Iso_Cities.txt" "Lapu-Lapu"
0739.130130.063449.0025.wav "HIL_Iso_Cities.txt" "Catbalogan"
