SessionID = "111024.005622"
SessionDate = "24/10/2011 (dd/mm/yyyy)"
SessionEnvironment = "closed empty room"
SessionComments = "1st Speaker"
SpeakerID = "2295"
SpeakerName = "Eddie Bebita"
SpeakerAge = 55
SpeakerGender = "male"
SpekaerDialect = "Cebuano"
MotherDialect = "Cebuano"
FatherDialect = "Cebuano"
SpeakerProfession = "Professor"
SpeakerComments = ""
2295.111024.005622.0001.wav "CEB_Iso_Airlines.txt" "Bacolod-Silay Airport"
2295.111024.005622.0002.wav "CEB_Iso_Airlines.txt" "Daniel Z. Romualdez Airport"
2295.111024.005622.0003.wav "CEB_Iso_Airlines.txt" "Subic Bay International Airport"
2295.111024.005622.0004.wav "CEB_Iso_Airlines.txt" "General Santos International Airport"
2295.111024.005622.0005.wav "CEB_Iso_Airlines.txt" "Tagbilaran Airport"
2295.111024.005622.0006.wav "CEB_Iso_Airlines.txt" "Ninoy Aquino International Airport"
2295.111024.005622.0007.wav "CEB_Iso_Airlines.txt" "Diosdado Macapagal International Airport"
2295.111024.005622.0008.wav "CEB_Iso_Airlines.txt" "Manila International Airport"
2295.111024.005622.0009.wav "CEB_Iso_Airlines.txt" "Lumbia Airport"
2295.111024.005622.0010.wav "CEB_Iso_BodyParts.txt" "kúmà"
2295.111024.005622.0011.wav "CEB_Iso_BodyParts.txt" "tampihák"
2295.111024.005622.0012.wav "CEB_Iso_BodyParts.txt" "tampihák"
2295.111024.005622.0013.wav "CEB_Iso_BodyParts.txt" "tiyán"
2295.111024.005622.0014.wav "CEB_Iso_BodyParts.txt" "pikóy"
2295.111024.005622.0015.wav "CEB_Iso_BodyParts.txt" "bitíis"
2295.111024.005622.0016.wav "CEB_Iso_BodyParts.txt" "tiíl"
2295.111024.005622.0017.wav "CEB_Iso_BodyParts.txt" "pálad"
2295.111024.005622.0018.wav "CEB_Iso_BodyParts.txt" "suwáng"
2295.111024.005622.0019.wav "CEB_Iso_BodyParts.txt" "lagáy"
2295.111024.005622.0020.wav "CEB_Iso_BodyParts.txt" "bagúl-bágol"
2295.111024.005622.0021.wav "CEB_Iso_BodyParts.txt" "unúd"
2295.111024.005622.0022.wav "CEB_Iso_BodyParts.txt" "kásingkásing"
2295.111024.005622.0023.wav "CEB_Iso_BodyParts.txt" "bagúl-bágol"
2295.111024.005622.0024.wav "CEB_Iso_BodyParts.txt" "tutúnlan"
2295.111024.005622.0025.wav "CEB_Iso_Cities.txt" "Guihulngan"
2295.111024.005622.0026.wav "CEB_Iso_Cities.txt" "Quezon City"
2295.111024.005622.0027.wav "CEB_Iso_Cities.txt" "Pasig"
2295.111024.005622.0028.wav "CEB_Iso_Cities.txt" "Nueva Ecija"
2295.111024.005622.0029.wav "CEB_Iso_Cities.txt" "Tarlac"
2295.111024.005622.0030.wav "CEB_Iso_Cities.txt" "Tayabas"
2295.111024.005622.0031.wav "CEB_Iso_Cities.txt" "Parañaque"
2295.111024.005622.0032.wav "CEB_Iso_Cities.txt" "Cagayan de Oro"
2295.111024.005622.0033.wav "CEB_Iso_Cities.txt" "Binondo"
2295.111024.005622.0034.wav "CEB_Iso_Cities.txt" "Las Piñas"
2295.111024.005622.0035.wav "CEB_Iso_Cities.txt" "Parañaque"
2295.111024.005622.0036.wav "CEB_Iso_ColorsPronouns.txt" "iyá"
2295.111024.005622.0037.wav "CEB_Iso_ColorsPronouns.txt" "ingón niánà"
2295.111024.005622.0038.wav "CEB_Iso_ColorsPronouns.txt" "ingón niánà"
2295.111024.005622.0039.wav "CEB_Iso_ColorsPronouns.txt" "pulá	"
2295.111024.005622.0040.wav "CEB_Iso_ColorsPronouns.txt" "púghaw nga su rósas"
2295.111024.005622.0041.wav "CEB_Iso_ColorsPronouns.txt" "dínhà"
2295.111024.005622.0042.wav "CEB_Iso_ColorsPronouns.txt" "púghaw nga pulá"
2295.111024.005622.0043.wav "CEB_Iso_ColorsPronouns.txt" "pilá		"
2295.111024.005622.0044.wav "CEB_Iso_ColorsPronouns.txt" "ngáno"
2295.111024.005622.0045.wav "CEB_Iso_Companies.txt" "Rizal Commercial Banking Corporation"
2295.111024.005622.0046.wav "CEB_Iso_Companies.txt" "Ginebra San Miguel"
2295.111024.005622.0047.wav "CEB_Iso_Companies.txt" "San Miguel"
2295.111024.005622.0048.wav "CEB_Iso_Companies.txt" "Chinabank"
2295.111024.005622.0049.wav "CEB_Iso_Companies.txt" "San Miguel"
2295.111024.005622.0050.wav "CEB_Iso_Companies.txt" "San Miguel Corporation"
2295.111024.005622.0051.wav "CEB_Iso_Companies.txt" "Lepanto"
